Pleb_Rank,Betweenness_Rank,Eigenvector_Rank,PageRank,Weighted_Degree_Rank,Channels_Rank,Capacity_Rank,alias,Node_Type,Total_Capacity,Num_Channels,Public_Key
124,88,158,160,154,156,500,bxm,,1.7 bitcoin,79.0,0335dc0160c4995be2a6e4abad424ebb1db656c492f36145e8ff26604efbf0a5f7
125,576,74,153,127,141,149,Friendspool | BR⚡LN,,8.7 bitcoin,85.0,023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6
126,464,126,184,167,157,125,Fedi us-east-1 [fedi.xyz],,10.7 bitcoin,78.0,02dd3fcdaa17b9bc83bf7138fbea85d0e83385a68b5fc8f9933658c8ee04644f68
127,669,75,135,116,121,117,Rust-eze (now BoltTrustiC),,11.6 bitcoin,99.0,03e81689bfd18d0accb28d720ed222209b1a5f2c6825308772beac75b1fe35d491
128,377,156,191,197,206,116,90511edf48b448df8c97c5,,11.6 bitcoin,63.0,0289753f4559770003baec773453f8d1b2dfae3256546891e4cfef3a0bdbaa4f30
129,446,159,195,183,192,93,connect-to-this-node-please,,15.4 bitcoin,65.0,026c2595bddf44ca1eadb65ad26942b325616690d104442f8560a7faaf67c4c323
130,463,107,180,165,163,197,HanzoNode,,6.1 bitcoin,76.0,0373eab8f43b0710549ddccc19ac7824ab6aea7655f4c15f4bc93b63df5db8fa48
131,236,264,154,171,168,292,HOPPINGSQUIRREL,,3.6 bitcoin,74.0,029fe435040c8b665f731f2b0c81d039238ef1e3a1b1de0afac2b476361a26d675
132,164,180,182,217,229,320,LightTheClassic,,3.2 bitcoin,57.0,02c29b89b2121b2c1fa2e5422bc70e0bb7ae7326c7a9d2b796ed6b89cdc5a2871b
133,296,238,220,210,225,105,ln.coinos.io,,13.4 bitcoin,58.0,021294fff596e497ad2902cd5f19673e9020953d90625d68c22e91b51a45c032d3
134,202,344,162,149,155,291,CentralWankers_CLN,,3.7 bitcoin,79.0,03b8d3617af7a3b525f2ca3cad9d08cae6ff7519a19c9cf3236b3b4e2f092087f4
135,895,61,105,92,94,63,lnd2.blink.sv,"Wallet, Payment",27.5 bitcoin,127.0,02fcc5bfc48e83f06c04483a2985e1c390cb0f35058baa875ad2053858b8e80dbd
136,606,145,149,133,142,139,Shire_Society_Federation,,9.4 bitcoin,84.0,036eb65676a65660e4c1ffd728d88b3d82d027d416fad59867471fe2123de0ab27
137,404,147,174,147,159,294,Sunshine Canyon,,3.6 bitcoin,77.0,0362259ea579f84772508de22086fa746f6e2571f8efb4bd5ec0876bcd18b5747c
138,219,205,161,161,160,431,LQwD-Japan,LSP,2.1 bitcoin,77.0,031a01e29587952eda0ed5d10c4e79bf0fc88d61aeae89e8a7ea7c036badb8c793
139,286,327,164,158,151,250,hexagon,,4.4 bitcoin,80.0,034f3f792988c43f41c65a839acdfa48647204bb99aca7de426f7c80b0dcf7a4a6
140,411,194,252,230,200,65,NoonesProdMainnetNode,,27.3 bitcoin,64.0,03284287b86a1378fdfa5ab34d7a7528f10bbdfab4c301d34087ca8996aa2571de
141,641,123,157,139,164,133,GoogolBLITZ,,10.0 bitcoin,75.0,028142dba8a06b1f2630f08b238b36645b458c0dd2a06fccda05a17115b2921a3f
142,395,138,221,205,243,178,_LEGALIZE_MATH_,,7.1 bitcoin,54.0,03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c
143,798,65,124,105,116,187,HappySpork,,6.6 bitcoin,101.0,02f324df7694f57b7d800d5a64f62fb226eabc8fbacb997f3ac5cd230e37944fbf
144,254,162,228,227,242,313,028ed7bd6ba6763cf040,,3.3 bitcoin,55.0,028ed7bd6ba6763cf040869681890bf5bf95d623108a60e75d76a57f5d637be3ef
145,37,846,31,83,68,364,🚀🌑 BOLTENING.club,,2.6 bitcoin,154.0,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8
146,31,696,39,104,98,483,Start9 HQ,,1.8 bitcoin,124.0,025d28dc4c4f5ce4194c31c3109129cd741fafc1ff2f6ea53f97de2f58877b2295
147,961,56,136,119,138,49,BitcoinVN 22,Exchange,36.7 bitcoin,87.0,026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f
148,689,132,137,118,127,267,BTC Nigeria,,4.1 bitcoin,95.0,03e86afe389d298f8f53a2f09fcc4d50cdd34e2fbd8f32cbd55583c596413705c2
149,367,257,204,213,219,216,🇨🇭 Swiss Bitcoin Pay,,5.3 bitcoin,60.0,03c181e13a09a649c13f60ea3ddbeefc66123c43280da8eebc19f54445f35173ca
150,207,200,219,187,205,464,syncro,,1.9 bitcoin,64.0,03bc77779d860e8b231d307c109bee12fa8f7949ca01273f296548fbe50c063dad
151,156,263,224,293,230,324,Obi-Wan Cryptobi,,3.2 bitcoin,57.0,03c445275ee7d79ee5778ca2ac81b7c4d84aed7ee04629e8d8f35434b3c21e2da8
152,163,246,188,200,216,482,LOUDTOLL,,1.8 bitcoin,61.0,02c095d069538f96bf14c5f90f6c0851bdf354a0ec86039a24bf38a73f705adc2c
