Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
202,266,211,173,155,113,BitcoinVoucherBot-X,,Only Tor,11.6 bitcoin,80,021a7a31f03a9b49807eb18ef03046e264871a1d03cd4cb80d37265499d1b726b9
74,103,2695,256,59,114,Blocktank,LSP,Only Clearnet,11.5 bitcoin,179,0296b2db342fcf87ea94d981757fdf4d3e545bd5cef4919f58b5d38dfdd73bf5c9
91,329,64,43,100,115,Shockwave Rider,,Only Tor,11.4 bitcoin,125,03e9c99fddf5aaa60e22c166622206947b1fb14ae2926f550f837af6aa83556bb8
77,129,246,111,67,116,ln-1.anycoin.cz,,Only Tor,11.3 bitcoin,168,02ec20f34bb94460f3d63780dfc24a4d4a1ddabc3bd86c09e1830c5b5db08953e5
134,241,87,108,144,117,GoogolBLITZ,,Only Tor,11.0 bitcoin,86,028142dba8a06b1f2630f08b238b36645b458c0dd2a06fccda05a17115b2921a3f
129,1924,1724,86,132,118,🚀RocketNode🚀,,Only Tor,11.0 bitcoin,91,025022f660d278b8d90415bdde1b385841b6caf179dc69569e4b55fd5aec70555f
222,576,42,109,225,119,tka.jp,,Only Tor,10.9 bitcoin,60,032d5a4b5a6a344ca15f6284e3e149f4716a1af782ffbb0194e0dadc077051acf0
102,245,90,68,106,120,rockshouse,,Only Tor,10.8 bitcoin,113,031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7
591,1887,341,377,531,121,deezy prime ⚡ ✨,LSP,Only Clearnet,10.8 bitcoin,30,0214ec5397050f7eec8e574d1d6feaa0c992169ed107056e6bd57aed1e94714851
2246,3944,3445,3437,207,122,,,Only Tor,10.7 bitcoin,64,024570df1d3cbf8a08537515b980d09937f5c9088fcd9af3e7522aa639f20d9167
47,93,257,58,44,123,CoinPayments,,Only Clearnet,10.5 bitcoin,231,03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1
104,153,445,134,105,124,LightningPlaces.com,,Only Tor,10.5 bitcoin,115,033d38e07e2541628214c8184cf6c562311059872363e9f538b2f45434418b5bc5
680,979,2448,564,328,125,bitnob-lnd-2,"LSP, Exchange, Payment",Only Tor,10.3 bitcoin,45,02e880b95c737bbe110c5ef4f5e70d0d4d04253503e42c4de2760d519f9cb9a81e
101,481,293,61,106,126,xmrk reloaded,,Only Tor,10.2 bitcoin,113,02cad4ec4c8b0dc2c7035a1898f979c8c7169bdff74e01ad6ca7aea59d85c59e8b
9999,9999,9999,9999,9746,127,rifrif,,Only Tor,10.1 bitcoin,1,020e0110805916823172a87fe418af721d463e65aff75a3239709be0d9587b2523
617,517,364,469,360,128,02442d4249f9a93464aaf8cd8d522faa,,Clearnet and Tor,10.0 bitcoin,42,02442d4249f9a93464aaf8cd8d522faa869356707b5f1537a8d6def2af50058c5b
120,397,1138,145,120,129,Shire_Society_Federation,,Only Tor,9.9 bitcoin,99,036eb65676a65660e4c1ffd728d88b3d82d027d416fad59867471fe2123de0ab27
277,575,1078,379,207,130,bipa,,Only Clearnet,9.8 bitcoin,64,02fb79c3a9121d85b126687bd111eaebf21aaaaa5cbf232e2b6c3bdf8803f40182
56,47,62,67,65,131,LN-Fukaya Japan,,Only Clearnet,9.8 bitcoin,170,020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c
1633,4075,810,578,1427,132,nicehash-ln2,,Only Clearnet,9.7 bitcoin,11,02542b74385b4965bf6b5616a0eaafee06b58ac62e3d441fdb2380a92ded3cf124
